,0.04,,,,,
198,1,0.7,0.95,,,
199,1,0.7,0.96,,,
200,1,0.7,0.97,,,
201,0,0.7,0.68,,,
202,0,0.7,0.47,,,
203,0,0.7,0.33,,,
204,0,0.7,0.23,,,
205,0,0.7,0.16,,,
206,0,0.7,0.11,,,
207,0,0.7,0.08,,,
208,0,0.7,0.05,,,
209,0,0.7,0.04,,,
210,0,0.7,0.03,,,
211,1,0.7,0.32,,,
212,1,0.7,0.53,,,
213,1,0.7,0.67,,,
214,1,0.7,0.77,,,
215,1,0.7,0.84,,,
216,1,0.7,0.89,,,
217,1,0.7,0.92,,,
218,1,0.7,0.95,,,
219,1,0.7,0.96,,,
220,1,0.7,0.97,,,
221,0,0.7,0.68,,,
222,0,0.7,0.47,,,
223,0,0.7,0.33,,,
224,0,0.7,0.23,,,
225,0,0.7,0.16,,,
226,0,0.7,0.11,,,
227,0,0.7,0.08,,,
228,0,0.7,0.05,,,
229,0,0.7,0.04,,,
230,0,0.7,0.03,,,
231,1,0.7,0.32,,,
232,1,0.7,0.53,,,
233,1,0.7,0.67,,,
234,1,0.7,0.77,,,
235,1,0.7,0.84,,,
236,1,0.7,0.89,,,
237,1,0.7,0.92,,,
238,1,0.7,0.95,,,
239,1,0.7,0.96,,,
240,1,0.7,0.97,,,
241,0,0.7,0.68,,,
242,0,0.7,0.47,,,
243,0,0.7,0.33,,,
244,0,0.7,0.23,,,
245,0,0.7,0.16,,,
246,0,0.7,0.11,,,
247,0,0.7,0.08,,,
248,0,0.7,0.05,,,
249,0,0.7,0.04,,,
250,0,0.7,0.03,,,
251,1,0.7,0.32,,,
252,1,0.7,0.53,,,
253,1,0.7,0.67,,,
254,1,0.7,0.77,,,
255,1,0.7,0.84,,,
256,1,0.7,0.89,,,
257,1,0.7,0.92,,,
258,1,0.7,0.95,,,
259,1,0.7,0.96,,,
260,1,0.7,0.97,,,
261,0,0.7,0.68,,,
262,0,0.7,0.47,,,
263,0,0.7,0.33,,,
264,0,0.7,0.23,,,
265,0,0.7,0.16,,,
266,0,0.7,0.11,,,
267,0,0.7,0.08,,,
268,0,0.7,0.05,,,
269,0,0.7,0.04,,,
270,0,0.7,0.03,,,
271,1,0.7,0.32,,,
272,1,0.7,0.53,,,
273,1,0.7,0.67,,,
274,1,0.7,0.77,,,
275,1,0.7,0.84,,,
276,1,0.7,0.89,,,
277,1,0.7,0.92,,,
278,1,0.7,0.95,,,
279,1,0.7,0.96,,,
280,1,0.7,0.97,,,
281,0,0.7,0.68,,,
282,0,0.7,0.47,,,
283,0,0.7,0.33,,,
284,0,0.7,0.23,,,
285,0,0.7,0.16,,,
286,0,0.7,0.11,,,
287,0,0.7,0.08,,,
288,0,0.7,0.05,,,
289,0,0.7,0.04,,,
290,0,0.7,0.03,,,
291,1,0.7,0.32,,,
292,1,0.7,0.53,,,
293,1,0.7,0.67,,,
294,1,0.7,0.77,,,
295,1,0.7,0.84,,,
296,1,0.7,0.89,,,
297,1,0.7,0.92,,,
298,1,0.7,0.95,,,
299,1,0.7,0.96,,,
300,1,0.7,0.97,,,
301,0,0.7,0.68,,,
302,0,0.7,0.47,,,
303,0,0.7,0.33,,,
304,0,0.7,0.23,,,
305,0,0.7,0.16,,,
306,0,0.7,0.11,,,
307,0,0.7,0.08,,,
308,0,0.7,0.05,,,
309,0,0.7,0.04,,,
310,0,0.7,0.03,,,
311,1,0.7,0.32,,,
312,1,0.7,0.53,,,
313,1,0.7,0.67,,,
314,1,0.7,0.77,,,
315,1,0.7,0.84,,,
316,1,0.7,0.89,,,
317,1,0.7,0.92,,,
318,1,0.7,0.95,,,
319,1,0.7,0.96,,,
320,1,0.7,0.97,,,
321,0,0.7,0.68,,,
322,0,0.7,0.47,,,
323,0,0.7,0.33,,,
324,0,0.7,0.23,,,
325,0,0.7,0.16,,,
326,0,0.7,0.11,,,
327,0,0.7,0.08,,,
328,0,0.7,0.05,,,
329,0,0.7,0.04,,,
330,0,0.7,0.03,,,
331,1,0.7,0.32,,,
332,1,0.7,0.53,,,
333,1,0.7,0.67,,,
334,1,0.7,0.77,,,
335,1,0.7,0.84,,,
336,1,0.7,0.89,,,
337,1,0.7,0.92,,,
338,1,0.7,0.95,,,
339,1,0.7,0.96,,,
340,1,0.7,0.97,,,
341,0,0.7,0.68,,,
342,0,0.7,0.47,,,
343,0,0.7,0.33,,,
344,0,0.7,0.23,,,
345,0,0.7,0.16,,,
346,0,0.7,0.11,,,
347,0,0.7,0.08,,,
348,0,0.7,0.05,,,
349,0,0.7,0.04,,,
350,0,0.7,0.03,,,
351,1,0.7,0.32,,,
352,1,0.7,0.53,,,
353,1,0.7,0.67,,,
354,1,0.7,0.77,,,
355,1,0.7,0.84,,,
356,1,0.7,0.89,,,
357,1,0.7,0.92,,,
358,1,0.7,0.95,,,
359,1,0.7,0.96,,,
360,1,0.7,0.97,,,
361,0,0.7,0.68,,,
362,0,0.7,0.47,,,
363,0,0.7,0.33,,,
364,0,0.7,0.23,,,
365,0,0.7,0.16,,,
366,0,0.7,0.11,,,
367,0,0.7,0.08,,,
368,0,0.7,0.05,,,
369,0,0.7,0.04,,,
370,0,0.7,0.03,,,
371,1,0.7,0.32,,,
372,1,0.7,0.53,,,
373,1,0.7,0.67,,,
374,1,0.7,0.77,,,
375,1,0.7,0.84,,,
376,1,0.7,0.89,,,
377,1,0.7,0.92,,,
378,1,0.7,0.95,,,
379,1,0.7,0.96,,,
380,1,0.7,0.97,,,
381,0,0.7,0.68,,,
382,0,0.7,0.47,,,
383,0,0.7,0.33,,,
384,0,0.7,0.23,,,
385,0,0.7,0.16,,,
386,0,0.7,0.11,,,
387,0,0.7,0.08,,,
388,0,0.7,0.05,,,
389,0,0.7,0.04,,,
390,0,0.7,0.03,,,
391,1,0.7,0.32,,,
392,1,0.7,0.53,,,
393,1,0.7,0.67,,,
394,1,0.7,0.77,,,
395,1,0.7,0.84,,,
396,1,0.7,0.89,,,
397,1,0.7,0.92,,,
398,1,0.7,0.95,,,
399,1,0.7,0.96,,,
400,1,0.7,0.97,,,
401,0,0.7,0.68,,,
402,0,0.7,0.47,,,
403,0,0.7,0.33,,,
404,0,0.7,0.23,,,
405,0,0.7,0.16,,,
406,0,0.7,0.11,,,
407,0,0.7,0.08,,,
408,0,0.7,0.05,,,
409,0,0.7,0.04,,,
410,0,0.7,0.03,,,
411,1,0.7,0.32,,,
412,1,0.7,0.53,,,
413,1,0.7,0.67,,,
414,1,0.7,0.77,,,
415,1,0.7,0.84,,,
416,1,0.7,0.89,,,
417,1,0.7,0.92,,,
418,1,0.7,0.95,,,
419,1,0.7,0.96,,,
420,1,0.7,0.97,,,
421,0,0.7,0.68,,,
422,0,0.7,0.47,,,
423,0,0.7,0.33,,,
424,0,0.7,0.23,,,
425,0,0.7,0.16,,,
426,0,0.7,0.11,,,
427,0,0.7,0.08,,,
428,0,0.7,0.05,,,
429,0,0.7,0.04,,,
430,0,0.7,0.03,,,
431,1,0.7,0.32,,,
432,1,0.7,0.53,,,
433,1,0.7,0.67,,,
434,1,0.7,0.77,,,
435,1,0.7,0.84,,,
436,1,0.7,0.89,,,
437,1,0.7,0.92,,,
438,1,0.7,0.95,,,
439,1,0.7,0.96,,,
440,1,0.7,0.97,,,
441,0,0.7,0.68,,,
442,0,0.7,0.47,,,
443,0,0.7,0.33,,,
444,0,0.7,0.23,,,
445,0,0.7,0.16,,,
446,0,0.7,0.11,,,
447,0,0.7,0.08,,,
448,0,0.7,0.05,,,
449,0,0.7,0.04,,,
450,0,0.7,0.03,,,
451,1,0.7,0.32,,,
452,1,0.7,0.53,,,
453,1,0.7,0.67,,,
454,1,0.7,0.77,,,
455,1,0.7,0.84,,,
456,1,0.7,0.89,,,
457,1,0.7,0.92,,,
458,1,0.7,0.95,,,
459,1,0.7,0.96,,,
460,1,0.7,0.97,,,
461,0,0.7,0.68,,,
462,0,0.7,0.47,,,
463,0,0.7,0.33,,,
464,0,0.7,0.23,,,
465,0,0.7,0.16,,,
466,0,0.7,0.11,,,
467,0,0.7,0.08,,,
468,0,0.7,0.05,,,
469,0,0.7,0.04,,,
470,0,0.7,0.03,,,
471,1,0.7,0.32,,,
472,1,0.7,0.53,,,
473,1,0.7,0.67,,,
474,1,0.7,0.77,,,
475,1,0.7,0.84,,,
476,1,0.7,0.89,,,
477,1,0.7,0.92,,,
478,1,0.7,0.95,,,
479,1,0.7,0.96,,,
480,1,0.7,0.97,,,
481,0,0.7,0.68,,,
482,0,0.7,0.47,,,
483,0,0.7,0.33,,,
484,0,0.7,0.23,,,
