,,Solenoid 1,,Magentometer 1,,,,Solenoid 2,,Magnetometer 2
Solenoid,Switch:,0,Magnetometer:,77.51,,Solenoid,Switch:,0,Magnetometer:,113.58
Solenoid,Switch:,0,Magnetometer:,78.87,,Solenoid,Switch:,0,Magnetometer:,117.5
Solenoid,Switch:,0,Magnetometer:,76.6,,Solenoid,Switch:,0,Magnetometer:,116.68
Solenoid,Switch:,0,Magnetometer:,76.93,,Solenoid,Switch:,0,Magnetometer:,118.13
Solenoid,Switch:,0,Magnetometer:,77.24,,Solenoid,Switch:,0,Magnetometer:,120.42
Solenoid,Switch:,0,Magnetometer:,77.33,,Solenoid,Switch:,0,Magnetometer:,116.64
Solenoid,Switch:,0,Magnetometer:,76.79,,Solenoid,Switch:,0,Magnetometer:,118.45
Solenoid,Switch:,0,Magnetometer:,77.23,,Solenoid,Switch:,0,Magnetometer:,113.54
Solenoid,Switch:,0,Magnetometer:,76.7,,Solenoid,Switch:,0,Magnetometer:,119.29
Solenoid,Switch:,1,Magnetometer:,76.43,,Solenoid,Switch:,1,Magnetometer:,123.72
Solenoid,Switch:,1,Magnetometer:,197.41,,Solenoid,Switch:,1,Magnetometer:,113.21
Solenoid,Switch:,1,Magnetometer:,197.21,,Solenoid,Switch:,1,Magnetometer:,114.82
Solenoid,Switch:,1,Magnetometer:,197.46,,Solenoid,Switch:,1,Magnetometer:,119.82
Solenoid,Switch:,1,Magnetometer:,197.32,,Solenoid,Switch:,1,Magnetometer:,117.24
Solenoid,Switch:,1,Magnetometer:,197.25,,Solenoid,Switch:,1,Magnetometer:,126.14
Solenoid,Switch:,1,Magnetometer:,197.41,,Solenoid,Switch:,1,Magnetometer:,122.75
Solenoid,Switch:,1,Magnetometer:,197.11,,Solenoid,Switch:,1,Magnetometer:,123.91
Solenoid,Switch:,1,Magnetometer:,197.79,,Solenoid,Switch:,1,Magnetometer:,114.68
Solenoid,Switch:,1,Magnetometer:,197.36,,Solenoid,Switch:,1,Magnetometer:,122.84
Solenoid,Switch:,1,Magnetometer:,197.46,,Solenoid,Switch:,1,Magnetometer:,118.61
Solenoid,Switch:,1,Magnetometer:,197.13,,Solenoid,Switch:,1,Magnetometer:,118.01
Solenoid,Switch:,1,Magnetometer:,197.32,,Solenoid,Switch:,1,Magnetometer:,117.61
Solenoid,Switch:,1,Magnetometer:,197.51,,Solenoid,Switch:,1,Magnetometer:,122.35
Solenoid,Switch:,1,Magnetometer:,197.49,,Solenoid,Switch:,1,Magnetometer:,117.03
Solenoid,Switch:,1,Magnetometer:,197.57,,Solenoid,Switch:,1,Magnetometer:,117.43
Solenoid,Switch:,1,Magnetometer:,197.53,,Solenoid,Switch:,1,Magnetometer:,123.01
Solenoid,Switch:,1,Magnetometer:,197.53,,Solenoid,Switch:,1,Magnetometer:,118.68
Solenoid,Switch:,1,Magnetometer:,197.38,,Solenoid,Switch:,1,Magnetometer:,117.18
Solenoid,Switch:,1,Magnetometer:,197.54,,Solenoid,Switch:,1,Magnetometer:,122.81
Solenoid,Switch:,1,Magnetometer:,197.5,,Solenoid,Switch:,1,Magnetometer:,120.93
Solenoid,Switch:,1,Magnetometer:,197.42,,Solenoid,Switch:,1,Magnetometer:,113.3
Solenoid,Switch:,1,Magnetometer:,198.34,,Solenoid,Switch:,1,Magnetometer:,118.87
Solenoid,Switch:,0,Magnetometer:,197.46,,Solenoid,Switch:,0,Magnetometer:,117.22
Solenoid,Switch:,0,Magnetometer:,76.81,,Solenoid,Switch:,0,Magnetometer:,111.85
Solenoid,Switch:,0,Magnetometer:,76.94,,Solenoid,Switch:,0,Magnetometer:,115.73
Solenoid,Switch:,0,Magnetometer:,77.87,,Solenoid,Switch:,0,Magnetometer:,118.71
Solenoid,Switch:,0,Magnetometer:,77.34,,Solenoid,Switch:,0,Magnetometer:,113.88
Solenoid,Switch:,0,Magnetometer:,77.56,,Solenoid,Switch:,0,Magnetometer:,114.52
Solenoid,Switch:,0,Magnetometer:,77.36,,Solenoid,Switch:,0,Magnetometer:,118.53
Solenoid,Switch:,0,Magnetometer:,76.69,,Solenoid,Switch:,0,Magnetometer:,118.1
Solenoid,Switch:,0,Magnetometer:,77.15,,Solenoid,Switch:,0,Magnetometer:,114.77
Solenoid,Switch:,0,Magnetometer:,77.04,,Solenoid,Switch:,0,Magnetometer:,115.37
Solenoid,Switch:,0,Magnetometer:,76.7,,Solenoid,Switch:,0,Magnetometer:,120.68
Solenoid,Switch:,0,Magnetometer:,77.57,,Solenoid,Switch:,0,Magnetometer:,115.45
Solenoid,Switch:,0,Magnetometer:,78.26,,Solenoid,Switch:,0,Magnetometer:,112.15
Solenoid,Switch:,0,Magnetometer:,78.13,,Solenoid,Switch:,0,Magnetometer:,116.7
Solenoid,Switch:,0,Magnetometer:,77.18,,Solenoid,Switch:,0,Magnetometer:,118.81
Solenoid,Switch:,0,Magnetometer:,77.68,,Solenoid,Switch:,0,Magnetometer:,119
Solenoid,Switch:,0,Magnetometer:,78.25,,Solenoid,Switch:,0,Magnetometer:,117.17
Solenoid,Switch:,0,Magnetometer:,77.68,,Solenoid,Switch:,0,Magnetometer:,113.12
Solenoid,Switch:,0,Magnetometer:,77.29,,Solenoid,Switch:,0,Magnetometer:,114.29
Solenoid,Switch:,0,Magnetometer:,77.27,,Solenoid,Switch:,0,Magnetometer:,111.67
Solenoid,Switch:,0,Magnetometer:,77.64,,Solenoid,Switch:,0,Magnetometer:,117.32
Solenoid,Switch:,0,Magnetometer:,77.4,,Solenoid,Switch:,0,Magnetometer:,106
Solenoid,Switch:,0,Magnetometer:,76.91,,Solenoid,Switch:,0,Magnetometer:,116.22
Solenoid,Switch:,1,Magnetometer:,76.96,,Solenoid,Switch:,1,Magnetometer:,113.65
Solenoid,Switch:,1,Magnetometer:,76.99,,Solenoid,Switch:,1,Magnetometer:,116.15
Solenoid,Switch:,1,Magnetometer:,197.59,,Solenoid,Switch:,1,Magnetometer:,4.13
Solenoid,Switch:,1,Magnetometer:,197.51,,Solenoid,Switch:,1,Magnetometer:,106.47
Solenoid,Switch:,1,Magnetometer:,197.42,,Solenoid,Switch:,1,Magnetometer:,112.71
Solenoid,Switch:,1,Magnetometer:,197.53,,Solenoid,Switch:,1,Magnetometer:,118.41
Solenoid,Switch:,1,Magnetometer:,197.64,,Solenoid,Switch:,1,Magnetometer:,118.14
Solenoid,Switch:,1,Magnetometer:,197.31,,Solenoid,Switch:,1,Magnetometer:,115.15
Solenoid,Switch:,1,Magnetometer:,197.67,,Solenoid,Switch:,1,Magnetometer:,110.47
Solenoid,Switch:,1,Magnetometer:,198.18,,Solenoid,Switch:,1,Magnetometer:,114.84
Solenoid,Switch:,1,Magnetometer:,197.48,,Solenoid,Switch:,1,Magnetometer:,114.68
Solenoid,Switch:,1,Magnetometer:,197.5,,Solenoid,Switch:,1,Magnetometer:,120.8
Solenoid,Switch:,1,Magnetometer:,197.76,,Solenoid,Switch:,1,Magnetometer:,118.42
Solenoid,Switch:,1,Magnetometer:,197.33,,Solenoid,Switch:,1,Magnetometer:,113.37
